user_id,full_name,email,role
1,User 1,user1@financehub.test,admin
2,User 2,user2@financehub.test,admin
3,User 3,user3@financehub.test,admin
4,User 4,user4@financehub.test,admin
5,User 5,user5@financehub.test,admin
6,User 6,user6@financehub.test,admin
7,User 7,user7@financehub.test,admin
8,User 8,user8@financehub.test,admin
9,User 9,user9@financehub.test,admin
10,User 10,user10@financehub.test,admin
11,User 11,user11@financehub.test,admin
12,User 12,user12@financehub.test,admin
13,User 13,user13@financehub.test,admin
14,User 14,user14@financehub.test,admin
15,User 15,user15@financehub.test,admin
16,User 16,user16@financehub.test,admin
17,User 17,user17@financehub.test,admin
18,User 18,user18@financehub.test,admin
19,User 19,user19@financehub.test,admin
20,User 20,user20@financehub.test,admin
21,User 21,user21@financehub.test,stakeholder
22,User 22,user22@financehub.test,stakeholder
23,User 23,user23@financehub.test,stakeholder
24,User 24,user24@financehub.test,stakeholder
25,User 25,user25@financehub.test,stakeholder
26,User 26,user26@financehub.test,stakeholder
27,User 27,user27@financehub.test,stakeholder
28,User 28,user28@financehub.test,stakeholder
29,User 29,user29@financehub.test,stakeholder
30,User 30,user30@financehub.test,stakeholder
31,User 31,user31@financehub.test,stakeholder
32,User 32,user32@financehub.test,stakeholder
33,User 33,user33@financehub.test,stakeholder
34,User 34,user34@financehub.test,stakeholder
35,User 35,user35@financehub.test,stakeholder
36,User 36,user36@financehub.test,stakeholder
37,User 37,user37@financehub.test,stakeholder
38,User 38,user38@financehub.test,stakeholder
39,User 39,user39@financehub.test,stakeholder
40,User 40,user40@financehub.test,stakeholder
41,User 41,user41@financehub.test,stakeholder
42,User 42,user42@financehub.test,stakeholder
43,User 43,user43@financehub.test,stakeholder
44,User 44,user44@financehub.test,stakeholder
45,User 45,user45@financehub.test,stakeholder
46,User 46,user46@financehub.test,stakeholder
47,User 47,user47@financehub.test,stakeholder
48,User 48,user48@financehub.test,stakeholder
49,User 49,user49@financehub.test,stakeholder
50,User 50,user50@financehub.test,stakeholder
51,User 51,user51@financehub.test,stakeholder
52,User 52,user52@financehub.test,stakeholder
53,User 53,user53@financehub.test,stakeholder
54,User 54,user54@financehub.test,stakeholder
55,User 55,user55@financehub.test,stakeholder
56,User 56,user56@financehub.test,stakeholder
57,User 57,user57@financehub.test,stakeholder
58,User 58,user58@financehub.test,stakeholder
59,User 59,user59@financehub.test,stakeholder
60,User 60,user60@financehub.test,stakeholder
61,User 61,user61@financehub.test,stakeholder
62,User 62,user62@financehub.test,stakeholder
63,User 63,user63@financehub.test,stakeholder
64,User 64,user64@financehub.test,stakeholder
65,User 65,user65@financehub.test,stakeholder
66,User 66,user66@financehub.test,stakeholder
67,User 67,user67@financehub.test,stakeholder
68,User 68,user68@financehub.test,stakeholder
69,User 69,user69@financehub.test,stakeholder
70,User 70,user70@financehub.test,stakeholder
71,User 71,user71@financehub.test,stakeholder
72,User 72,user72@financehub.test,stakeholder
73,User 73,user73@financehub.test,stakeholder
74,User 74,user74@financehub.test,stakeholder
75,User 75,user75@financehub.test,stakeholder
76,User 76,user76@financehub.test,stakeholder
77,User 77,user77@financehub.test,stakeholder
78,User 78,user78@financehub.test,stakeholder
79,User 79,user79@financehub.test,stakeholder
80,User 80,user80@financehub.test,stakeholder
81,User 81,user81@financehub.test,user
82,User 82,user82@financehub.test,user
83,User 83,user83@financehub.test,user
84,User 84,user84@financehub.test,user
85,User 85,user85@financehub.test,user
86,User 86,user86@financehub.test,user
87,User 87,user87@financehub.test,user
88,User 88,user88@financehub.test,user
